Modelo,Arquitectura,Parametros,Epoca_Evaluada,Train_MSE,Val_MSE,Test_MSE,Test_Accuracy_Pct,Test_F1_Macro,Brecha_Generalizacion,Ahorro_Epocas_Pct
Sobreajustado (Pesos Finales),"[30, 64, 32, 1]",4097,1500,0.000013,0.025724,0.043489,95.10,0.9609,0.043476,0.00%
"Early Stopping (Pesos Óptimos W*, b*)","[30, 64, 32, 1]",4097,24,0.008957,0.012722,0.036247,94.41,0.9551,0.027290,95.73%
