Config_ID,Arquitectura,Capas_Ocultas,Num_Parametros,Tasa_Aprendizaje_eta,Momento_beta,Epocas_Ejecutadas,Convergencia,Train_MSE_Final,Val_MSE_Final,Test_Accuracy,Test_Precision_Macro,Test_Recall_Macro,Test_F1_Macro,Tiempo_Segundos
CONF-01,"[4, 4, 3]",[4],35,0.05,0.7,652,True,0.0019991432957827304,0.0015328033173360575,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.9095022624434389,2.7375
CONF-02,"[4, 4, 3]",[4],35,0.1,0.7,335,True,0.0019987309900013745,0.0004948520180020694,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.9095022624434389,1.4272
CONF-03,"[4, 4, 3]",[4],35,0.3,0.7,167,True,0.0018598344969689895,0.00047889619169790677,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.9095022624434389,0.7088
CONF-04,"[4, 8, 3]",[8],67,0.05,0.7,677,True,0.0019929171052203484,0.0004060978393185755,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.9095022624434389,2.894
CONF-05,"[4, 8, 3]",[8],67,0.1,0.7,340,True,0.00193030338982032,0.0004260325559565907,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.9095022624434389,1.446
CONF-06,"[4, 8, 3]",[8],67,0.3,0.7,159,True,0.0017588826703547624,0.0006500926267572037,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.9095022624434389,0.6762
CONF-07,"[4, 8, 4, 3]","[8, 4]",91,0.05,0.7,305,True,0.0019194704612685008,0.0009216942587050083,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.9095022624434389,1.8704
CONF-08,"[4, 8, 4, 3]","[8, 4]",91,0.1,0.7,180,True,0.0019371674370291898,0.0013980312815592103,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,1.1168
CONF-09,"[4, 8, 4, 3]","[8, 4]",91,0.3,0.7,174,True,0.0018725967206673652,0.012255454706510302,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.9095022624434389,1.0902
