Etiqueta,Arquitectura,Parametros,Ratio_Par_Muestras,Epoca_Optima,Train_MSE_Final,Val_MSE_Final,Val_MSE_Min,Overfit_Test_MSE,Overfit_Test_Acc,ES_Test_MSE,ES_Test_Acc,Gen_Gap_Overfit,Gen_Gap_ES
Subajustada,"[30, 2, 1]",65,0.23,30,5.744789740954026e-05,0.02553260356868919,0.013532964152285885,0.045765089536122065,95.1048951048951,0.037252904174866194,95.8041958041958,0.04570764163871253,0.029635397998042053
Parsimoniosa,"[30, 8, 1]",257,0.9,28,5.404074733711077e-05,0.02712529814042218,0.013677583861490292,0.0462052742835064,95.1048951048951,0.037183870495503174,95.1048951048951,0.04615123353616929,0.02893764827790558
Balanceada,"[30, 16, 8, 1]",641,2.26,22,1.6429178544893898e-05,0.025799618223230746,0.011921468078511398,0.04627260974964129,95.1048951048951,0.03571836627243999,95.1048951048951,0.0462561805710964,0.027260317759836363
Sobreparametrizada,"[30, 64, 32, 1]",4097,14.43,24,1.2727253252794597e-05,0.025724041358203692,0.012721839875818564,0.04348863351563082,95.1048951048951,0.03624719939614088,94.4055944055944,0.043475906262378024,0.0272898981767074
