eta,beta,epocas,convergencia,mse_final
1.4,0.3,616,True,0.004998326360928165
1.4,0.4,536,True,0.004972588029740464
1.4,0.5,454,True,0.004980308700074846
1.4,0.6,371,True,0.004959237203767225
1.4,0.7,286,True,0.004931628356170887
1.4,0.8,199,True,0.004910905212429231
1.4,0.9,112,True,0.004996677095522685
1.4,1.0,15000,False,0.2548574117974694
1.5,0.0,796,True,0.00499559259158042
1.5,0.1,720,True,0.004980470003323848
1.5,0.2,645,True,0.004980290842177448
1.5,0.3,570,True,0.0049980883780574034
1.5,0.4,496,True,0.00496931802554737
1.5,0.5,420,True,0.004978985271861329
1.5,0.6,343,True,0.004967884204087384
1.5,0.7,264,True,0.004975656159951682
1.5,0.8,184,True,0.004937726474187389
1.5,0.9,104,True,0.004930692239078936
1.5,1.0,15000,False,0.25074818069011867
1.6,0.0,741,True,0.004982871804168586
1.6,0.1,670,True,0.004982334903495889
1.6,0.2,600,True,0.004992687303073955
1.6,0.3,531,True,0.0049830514084774485
1.6,0.4,461,True,0.004997738683081464
1.6,0.5,391,True,0.0049719245335683605
1.6,0.6,319,True,0.0049786750587212675
1.6,0.7,246,True,0.004948797692318459
1.6,0.8,171,True,0.004988791877346973
1.6,0.9,97,True,0.004948162579348747
1.6,1.0,15000,False,0.2552915270977523
1.7,0.0,693,True,0.0049817122285426415
1.7,0.1,627,True,0.004976205870872727
1.7,0.2,562,True,0.004972937125285405
1.7,0.3,497,True,0.0049781092620243455
1.7,0.4,432,True,0.00496741177097283
1.7,0.5,366,True,0.004960424516580335
1.7,0.6,299,True,0.004938077243462463
1.7,0.7,230,True,0.004963131896140369
1.7,0.8,161,True,0.004869110265559334
1.7,0.9,91,True,0.004988901826821761
1.7,1.0,15000,False,0.25353598918937437
1.8,0.0,651,True,0.004983466534445873
1.8,0.1,589,True,0.00498476926203914
1.8,0.2,528,True,0.004983069037493975
1.8,0.3,467,True,0.004986365822942986
1.8,0.4,406,True,0.0049706849280397696
1.8,0.5,344,True,0.00495972507595048
1.8,0.6,281,True,0.0049380444549089065
1.8,0.7,216,True,0.004982290070224386
1.8,0.8,151,True,0.004940040743896536
1.8,0.9,86,True,0.004982245279020619
1.8,1.0,15000,False,0.2549109466105344
1.9,0.0,614,True,0.004986643964184903
1.9,0.1,556,True,0.00497852788626002
1.9,0.2,498,True,0.004996318815552039
1.9,0.3,441,True,0.004977370602746181
1.9,0.4,383,True,0.004980546794503004
1.9,0.5,324,True,0.004999148955702028
1.9,0.6,265,True,0.004951388943474045
1.9,0.7,204,True,0.0049700560299157665
1.9,0.8,143,True,0.004889430711446241
1.9,0.9,82,True,0.004843177845184146
1.9,1.0,15000,False,0.2500413821453363
2.0,0.0,581,True,0.004996747109478185
2.0,0.1,526,True,0.004999418762004715
2.0,0.2,472,True,0.0049861408958871735
2.0,0.3,418,True,0.004967087245027708
2.0,0.4,363,True,0.004970437846618492
2.0,0.5,307,True,0.004992181712657079
2.0,0.6,251,True,0.004951544787054524
2.0,0.7,194,True,0.004891935361757044
2.0,0.8,135,True,0.004992731312914781
2.0,0.9,78,True,0.004983308178535529
2.0,1.0,15000,False,0.2501348906959105
